情境,天數,樣本數,上漲機率,下跌機率,平均報酬,中位數,10分位,25分位,75分位,90分位,跌逾5%機率,跌逾10%機率,漲逾5%機率,漲逾10%機率
A: MA20<MA60<MA120<MA240,20,145,0.5586206896551724,0.4413793103448276,0.003494782191957969,0.009861841187142506,-0.06457846873067992,-0.019323671497584516,0.037138927097661645,0.06795629924253717,0.1310344827586207,0.05517241379310345,0.15862068965517243,0.034482758620689655
A: MA20<MA60<MA120<MA240,60,145,0.6344827586206897,0.36551724137931035,0.018207768951512344,0.02903554892882365,-0.11296320858272992,-0.04341895885428515,0.07647183546540393,0.1339591008388304,0.20689655172413793,0.12413793103448276,0.3448275862068966,0.15862068965517243
A: MA20<MA60<MA120<MA240,120,145,0.6,0.4,0.024784607611120182,0.04321598991626918,-0.1720546317500902,-0.048384656124687786,0.11962308347529804,0.19466691595920177,0.2482758620689655,0.18620689655172415,0.4689655172413793,0.2896551724137931
B: MA120與MA240超標,20,10,0.5,0.5,-0.012271733035039267,0.0007922030178127426,-0.15393652499629912,-0.053952287846081165,0.047116980050739776,0.08740252783534568,0.3,0.2,0.3,0.1
B: MA120與MA240超標,60,10,0.5,0.5,-0.043194625948574795,-0.012970651880377548,-0.1636759778977588,-0.12635472475274923,0.03676499558141244,0.052024566905824014,0.4,0.3,0.1,0.1
B: MA120與MA240超標,120,10,0.0,1.0,-0.17299356486269074,-0.1981817715679735,-0.3260013721743538,-0.26212729561211234,-0.04494771338095599,-0.025591747372909077,0.7,0.6,0.0,0.0
C: A且B,20,10,0.5,0.5,-0.012271733035039267,0.0007922030178127426,-0.15393652499629912,-0.053952287846081165,0.047116980050739776,0.08740252783534568,0.3,0.2,0.3,0.1
C: A且B,60,10,0.5,0.5,-0.043194625948574795,-0.012970651880377548,-0.1636759778977588,-0.12635472475274923,0.03676499558141244,0.052024566905824014,0.4,0.3,0.1,0.1
C: A且B,120,10,0.0,1.0,-0.17299356486269074,-0.1981817715679735,-0.3260013721743538,-0.26212729561211234,-0.04494771338095599,-0.025591747372909077,0.7,0.6,0.0,0.0
D: C且平均σ/分歧度都在歷史前25%,20,10,0.5,0.5,-0.012271733035039267,0.0007922030178127426,-0.15393652499629912,-0.053952287846081165,0.047116980050739776,0.08740252783534568,0.3,0.2,0.3,0.1
D: C且平均σ/分歧度都在歷史前25%,60,10,0.5,0.5,-0.043194625948574795,-0.012970651880377548,-0.1636759778977588,-0.12635472475274923,0.03676499558141244,0.052024566905824014,0.4,0.3,0.1,0.1
D: C且平均σ/分歧度都在歷史前25%,120,10,0.0,1.0,-0.17299356486269074,-0.1981817715679735,-0.3260013721743538,-0.26212729561211234,-0.04494771338095599,-0.025591747372909077,0.7,0.6,0.0,0.0
"E: 接近目前狀態(平均σ±3, 分歧度±3, MA240-MA20±6)",20,2,0.0,1.0,-0.02195874890698285,-0.02195874890698285,-0.029060414450061255,-0.026397289871406854,-0.017520207942558846,-0.014857083363904443,0.0,0.0,0.0,0.0
"E: 接近目前狀態(平均σ±3, 分歧度±3, MA240-MA20±6)",60,2,0.0,1.0,-0.11036411728805678,-0.11036411728805678,-0.11829659968138763,-0.11532191878388856,-0.10540631579222501,-0.10243163489472594,1.0,1.0,0.0,0.0
"E: 接近目前狀態(平均σ±3, 分歧度±3, MA240-MA20±6)",120,2,0.0,1.0,-0.2825537961073375,-0.2825537961073375,-0.29478397918035365,-0.2901976605279726,-0.2749099316867024,-0.27032361303432134,1.0,1.0,0.0,0.0
