ma,threshold,n,mean_60d,median_60d,win_rate
MA20,0.0,3686,0.025249813075537166,0.02606814244524125,0.601465002712968
MA20,0.5,3234,0.028291626914814256,0.027950326110984358,0.608534322820037
MA20,1.0,2784,0.029113340816298655,0.026552748853127417,0.6102729885057471
MA20,1.5,2347,0.02932338887126058,0.02411684782608714,0.6050276949296974
MA20,2.0,1930,0.03131510835124964,0.023792916085861204,0.6082901554404145
MA20,2.5,1610,0.034009567805072825,0.023792916085861204,0.6149068322981367
MA20,3.0,1306,0.038419887335279054,0.025469387645683184,0.6248085758039816
MA20,3.5,1048,0.03942348618692304,0.02504739237068654,0.6221374045801527
MA20,4.0,852,0.042213287193085605,0.027751003805841723,0.6302816901408451
MA20,4.5,685,0.04365243659679288,0.02811302001987781,0.6233576642335766
MA20,5.0,543,0.04189469196141607,0.0248714907077896,0.6095764272559853
MA20,5.5,432,0.04969102370120671,0.02504739237068654,0.6157407407407407
MA20,6.0,316,0.05595811615769291,0.029785311594495933,0.6424050632911392
MA20,6.5,246,0.056518604680258586,0.023164295562189463,0.6341463414634146
MA20,7.0,175,0.053150407660369915,0.02049537073672547,0.6285714285714286
MA20,7.5,131,0.03746958299289184,0.013294172205905008,0.5725190839694656
MA20,8.0,84,0.02312789929345919,-0.0021457675524524378,0.4880952380952381
MA20,8.5,58,0.02427147524418686,-0.008743822415831659,0.4482758620689655
MA20,9.0,38,0.030636021454601196,-0.008743822415831659,0.47368421052631576
MA20,9.5,26,0.02288226284634735,-0.01284372832768893,0.4230769230769231
MA20,10.0,13,-0.008443835273439358,-0.05049805110437422,0.38461538461538464
MA20,10.5,2,-0.025375022777055223,-0.025375022777055223,0.5
MA60,0.0,3634,0.026977330022076453,0.024938386757008213,0.6139240506329114
MA60,0.5,3416,0.02756181773100338,0.024574915446409107,0.6141686182669789
MA60,1.0,3174,0.02717701978944617,0.02383352966712704,0.6112161310649024
MA60,1.5,2915,0.026805392724836116,0.023622047244094446,0.6082332761578044
MA60,2.0,2696,0.025503620760885852,0.0225223422170161,0.6038575667655787
MA60,2.5,2448,0.024980771011459957,0.022668087902520062,0.6017156862745098
MA60,3.0,2210,0.023246430664043853,0.022705373377771343,0.5995475113122172
MA60,3.5,2007,0.021962602982207532,0.022203372916874686,0.5949177877428998
MA60,4.0,1779,0.022082969701360096,0.022486903232183275,0.5975267003934794
MA60,4.5,1565,0.024408914535983296,0.024081481176033925,0.6057507987220447
MA60,5.0,1388,0.023289279672258453,0.023820323740140426,0.6044668587896254
MA60,5.5,1221,0.02631328665695822,0.025775410258613185,0.6191646191646192
MA60,6.0,1076,0.024844297088276766,0.02449416926693837,0.6133828996282528
MA60,6.5,952,0.025180594325850087,0.024057938219818498,0.615546218487395
MA60,7.0,830,0.02806031591493743,0.024099164501060533,0.6265060240963856
MA60,7.5,706,0.031025563503181242,0.022540299184979573,0.6218130311614731
MA60,8.0,611,0.03508844546273937,0.0233024118738403,0.6350245499181669
MA60,8.5,515,0.037504223709895604,0.023098545647125768,0.6310679611650486
MA60,9.0,449,0.04030480888462851,0.021949404761904656,0.6325167037861915
MA60,9.5,406,0.040309430140207776,0.022397997236644485,0.6305418719211823
MA60,10.0,350,0.0395283334649577,0.022948053505808086,0.6257142857142857
MA60,10.5,316,0.03686141194853634,0.021090113501610497,0.6170886075949367
MA60,11.0,280,0.034778504810255295,0.018275394732030992,0.6071428571428571
MA60,11.5,246,0.030847047970122745,0.017558941087836843,0.5894308943089431
MA60,12.0,218,0.026172797044582235,0.017558941087836843,0.5779816513761468
MA60,12.5,193,0.023496452926747093,0.013337241682544354,0.5595854922279793
MA60,13.0,174,0.025451638679560382,0.01779069642689335,0.5747126436781609
MA60,13.5,148,0.023278091615063102,0.01779069642689335,0.5608108108108109
MA60,14.0,131,0.01231595029377856,0.005207590241118387,0.5190839694656488
MA60,14.5,115,0.0026896600294982567,-0.008576968973747046,0.4782608695652174
MA60,15.0,93,0.00119753583998207,-0.01048277829280464,0.4731182795698925
MA60,15.5,83,-0.0006704075875824084,-0.02022403875264911,0.4578313253012048
MA60,16.0,67,-0.00822515716002302,-0.04993057162693815,0.43283582089552236
MA60,16.5,54,-0.018044236263658954,-0.0706310904666666,0.37037037037037035
MA60,17.0,40,-0.03077579958658385,-0.08790793704225225,0.325
MA60,17.5,36,-0.04310953621733184,-0.09477905642587403,0.2777777777777778
MA60,18.0,32,-0.04673113881760025,-0.1029406475717693,0.28125
MA60,18.5,28,-0.05275342052503015,-0.10745956487984293,0.25
MA60,19.0,20,-0.05838160266600001,-0.10745956487984293,0.25
MA60,19.5,15,-0.0954923123776641,-0.1281247117424592,0.13333333333333333
MA60,20.0,9,-0.11317876049470008,-0.15012574097359443,0.1111111111111111
MA60,20.5,7,-0.14905819123238664,-0.15217104394879244,0.0
MA60,21.0,6,-0.15565349828569433,-0.1559621300080008,0.0
MA60,21.5,4,-0.15317098583207828,-0.1559621300080008,0.0
MA60,22.0,4,-0.15317098583207828,-0.1559621300080008,0.0
MA60,22.5,3,-0.16908372082705592,-0.15975321606720916,0.0
MA60,23.0,2,-0.17754005926618766,-0.17754005926618766,0.0
MA60,23.5,1,-0.19532690246516615,-0.19532690246516615,0.0
MA60,24.0,1,-0.19532690246516615,-0.19532690246516615,0.0
MA60,24.5,1,-0.19532690246516615,-0.19532690246516615,0.0
MA60,25.0,1,-0.19532690246516615,-0.19532690246516615,0.0
MA60,25.5,1,-0.19532690246516615,-0.19532690246516615,0.0
MA60,26.0,1,-0.19532690246516615,-0.19532690246516615,0.0
MA120,0.0,3660,0.01842421454738177,0.023090048407438557,0.6062841530054645
MA120,0.5,3495,0.019075767847946883,0.023081551167751346,0.607725321888412
MA120,1.0,3350,0.019362054921736756,0.02317308785315919,0.6092537313432835
MA120,1.5,3206,0.02022537297310643,0.02335459951419383,0.6107298814722395
MA120,2.0,3026,0.021386958126893046,0.02395537710995488,0.6166556510244547
MA120,2.5,2865,0.022486906377586508,0.0250609804075852,0.6216404886561955
MA120,3.0,2693,0.022779775108086528,0.025837961321832248,0.6223542517638322
MA120,3.5,2542,0.02280481579830054,0.026540933056398708,0.6231313926042487
MA120,4.0,2372,0.02498396970230533,0.028947726842145194,0.6319561551433389
MA120,4.5,2219,0.02425603095649396,0.02866213951847607,0.6318161333934205
MA120,5.0,2077,0.02370888617362369,0.028547008547008534,0.6268656716417911
MA120,5.5,1932,0.023530642018304997,0.02866859393718768,0.6278467908902692
MA120,6.0,1752,0.024980791353505793,0.03039624922214279,0.6364155251141552
MA120,6.5,1619,0.026601832156230902,0.032042231907188023,0.6454601605929586
MA120,7.0,1475,0.02610513571077284,0.03245093784656938,0.648135593220339
