theme,stock_id,name,ret,start_price,end_price,market_cap
PCB設備,1785,光洋應用材料科技,-0.14324324324324322,185.0,158.5,94466348700.0
銅箔基板,6672,騰輝電子國際集團,-0.08849557522123896,226.0,206.0,14715548200.0
PCB/載板,3376,新日興,-0.051162790697674376,215.0,204.0,39935815200.0
PCB/載板,8046,南亞電路板,-0.0496304118268216,947.0,900.0,581548950000.0
PCB/載板,4958,臻鼎科技控股,-0.04683840749414525,427.0,407.0,435733467400.0
銅箔基板,6213,聯茂電子,-0.046744574290484175,299.5,285.5,104105005500.0
PCB/載板,2368,金像電子(股)公司,-0.04137931034482756,1450.0,1390.0,709635171000.0
PCB/載板,3044,健鼎科技,-0.038000000000000034,500.0,481.0,252816437900.0
銅箔基板,5498,凱崴電子,-0.029490616621983712,74.6,72.4,14017675320.000002
PCB/載板,3037,欣興電子,-0.0234375,896.0,875.0,1390590687500.0
PCB/載板,2383,台光電子材料,-0.012096774193548376,4960.0,4900.0,1755773390000.0
銅箔基板,2383,台光電子材料,-0.012096774193548376,4960.0,4900.0,1755773390000.0
PCB/載板,3665,貿聯控股(BizLink Holding Inc.),-0.0017985611510791255,2780.0,2775.0,542287447500.0
PCB設備,3563,牧德科技,-0.001225490196078427,816.0,815.0,52128052000.0
PCB/載板,4542,科嶠工業,0.0023474178403755097,213.0,213.5,7384196400.0
PCB/載板,6274,台燿科技,0.0034602076124568004,1445.0,1450.0,418779430000.0
銅箔基板,6274,台燿科技,0.0034602076124568004,1445.0,1450.0,418779430000.0
銅箔基板,8039,台虹科技,0.0146520146520146,136.5,138.5,36518156500.0
PCB設備,6664,群翊工業,0.02637362637362628,455.0,467.0,28396682200.0
PCB設備,5536,聖暉工程科技,0.027874564459930307,861.0,885.0,109811685000.0
PCB/載板,2313,華通電腦,0.04208416833667328,249.5,260.0,309873356000.0
