date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2009-01-04,38.207876327154885,,1201.61103,0.05825242718446602,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1000000.0,
2009-01-11,37.20821786529443,,1232.85845,0.07692307692307693,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,973836.324916337,
2009-01-18,36.49915779350969,,1239.68709,0.08653846153846154,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,955278.3693337389,
2009-01-25,35.45300358923712,,1204.17106,0.0673076923076923,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,927897.7791299057,
2009-02-08,37.42907264175198,,1223.64317,0.08653846153846154,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,979616.6717371464,
2009-02-15,38.684457686879064,,1251.33385,0.11538461538461539,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1012473.3799817464,
2009-02-22,37.31283328572169,,1269.17758,0.125,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,976574.3839367204,
2009-03-01,38.4171071680094,,1295.48471,0.1346153846153846,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1005476.1180407667,
2009-03-08,39.137791175397176,,1322.48226,0.15384615384615385,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1024338.3024034074,
2009-03-15,40.68377461059997,,1359.7567,0.16346153846153846,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1064800.7301490721,
2009-03-22,41.171979905927174,,1387.67287,0.18269230769230768,depressed,False,True,False,False,False,HOLD,26172.614029565564,0.0,1077578.338910861,
2009-03-29,43.903604772638886,,1428.82543,0.20192307692307693,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1149072.10222087,
2009-04-05,44.868391427690256,,1481.32853,0.21153846153846154,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1174323.0909644053,
2009-04-12,46.46087060530517,,1561.70944,0.23076923076923078,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1216002.4338302403,
2009-04-19,46.35625518487792,,1543.02339,0.22115384615384615,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1213264.3748098572,
2009-04-26,47.076939192265684,,1641.79943,0.25961538461538464,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1232126.5591724978,
2009-05-03,48.99488856676539,,1598.35822,0.25,low,False,True,False,False,False,HOLD,26172.614029565564,0.0,1282324.3078795252,
